Main Value,County,State
21.88,TALBOT,Georgia
16.67,TALIAFERRO,Georgia
28.36,TATTNALL,Georgia
24.24,TAYLOR,Georgia
31.37,TELFAIR,Georgia
16.67,TERRELL,Georgia
19.2,THOMAS,Georgia
23.08,TIFT,Georgia
31.2,TOOMBS,Georgia
20.16,TOWNS,Georgia
42.86,TREUTLEN,Georgia
21.99,TROUP,Georgia
27.27,TURNER,Georgia
42.42,TWIGGS,Georgia
20.66,UNION,Georgia
17.28,UPSON,Georgia
23.93,WALKER,Georgia
28.75,WALTON,Georgia
28.99,WARE,Georgia
42.86,WARREN,Georgia
27.4,WASHINGTON,Georgia
28.8,WAYNE,Georgia
66.67,WEBSTER,Georgia
21.05,WHEELER,Georgia
29.94,WHITE,Georgia
21.13,WHITFIELD,Georgia
19.51,WILCOX,Georgia
26.53,WILKES,Georgia
30.56,WILKINSON,Georgia
22.39,WORTH,Georgia
25.62,HAWAII,Hawaii
31.86,HONOLULU,Hawaii
21.14,KAUAI,Hawaii
26.23,MAUI,Hawaii
21.72,ADA,Idaho
24.39,ADAMS,Idaho
18.81,BANNOCK,Idaho
14.29,BEAR LAKE,Idaho
12.28,BENEWAH,Idaho
19.61,BINGHAM,Idaho
18.67,BLAINE,Idaho
10.0,BOISE,Idaho
14.74,BONNER,Idaho
21.32,BONNEVILLE,Idaho
16.28,BOUNDARY,Idaho
14.81,BUTTE,Idaho
12.5,CAMAS,Idaho
25.37,CANYON,Idaho
10.71,CARIBOU,Idaho
19.23,CASSIA,Idaho
0.0,CLARK,Idaho
26.83,CLEARWATER,Idaho
5.66,CUSTER,Idaho
25.96,ELMORE,Idaho
22.03,FRANKLIN,Idaho
16.18,FREMONT,Idaho
20.59,GEM,Idaho
18.18,GOODING,Idaho
13.42,IDAHO,Idaho
22.64,JEFFERSON,Idaho
25.3,JEROME,Idaho
16.67,KOOTENAI,Idaho
13.94,LATAH,Idaho
12.63,LEMHI,Idaho
10.53,LEWIS,Idaho
26.09,LINCOLN,Idaho
18.45,MADISON,Idaho
15.38,MINIDOKA,Idaho
19.29,NEZ PERCE,Idaho
8.7,ONEIDA,Idaho
24.0,OWYHEE,Idaho
24.0,PAYETTE,Idaho
13.33,POWER,Idaho
15.5,SHOSHONE,Idaho
9.26,TETON,Idaho
20.05,TWIN FALLS,Idaho
15.38,VALLEY,Idaho
23.08,WASHINGTON,Idaho
32.97,ADAMS,Illinois
17.24,ALEXANDER,Illinois
20.2,BOND,Illinois
29.52,BOONE,Illinois
14.29,BROWN,Illinois
18.18,BUREAU,Illinois
23.33,CALHOUN,Illinois
14.89,CARROLL,Illinois
13.7,CASS,Illinois
21.09,CHAMPAIGN,Illinois
19.35,CHRISTIAN,Illinois
18.18,CLARK,Illinois
15.31,CLAY,Illinois
20.83,CLINTON,Illinois
22.27,COLES,Illinois
22.33,COOK,Illinois
26.62,CRAWFORD,Illinois
20.0,CUMBERLAND,Illinois
19.48,DE KALB,Illinois
25.0,DE WITT,Illinois
22.86,DOUGLAS,Illinois
19.75,DU PAGE,Illinois
28.23,EDGAR,Illinois
13.33,EDWARDS,Illinois
18.9,EFFINGHAM,Illinois
28.67,FAYETTE,Illinois
18.57,FORD,Illinois
26.76,FRANKLIN,Illinois
23.11,FULTON,Illinois
23.4,GALLATIN,Illinois
15.48,GREENE,Illinois
26.11,GRUNDY,Illinois
21.82,HAMILTON,Illinois
22.06,HANCOCK,Illinois
32.14,HARDIN,Illinois
16.67,HENDERSON,Illinois
28.43,HENRY,Illinois
27.78,IROQUOIS,Illinois
29.6,JACKSON,Illinois
19.7,JASPER,Illinois
38.17,JEFFERSON,Illinois
21.57,JERSEY,Illinois
13.0,JO DAVIESS,Illinois
31.25,JOHNSON,Illinois
18.82,KANE,Illinois
27.38,KANKAKEE,Illinois
22.22,KENDALL,Illinois
22.07,KNOX,Illinois
22.02,LA SALLE,Illinois
20.23,LAKE,Illinois
18.87,LAWRENCE,Illinois
28.38,LEE,Illinois
28.84,LIVINGSTON,Illinois
25.0,LOGAN,Illinois
19.08,MACON,Illinois
20.68,MACOUPIN,Illinois
22.88,MADISON,Illinois
26.22,MARION,Illinois
30.21,MARSHALL,Illinois
26.32,MASON,Illinois
33.33,MASSAC,Illinois
24.0,MC DONOUGH,Illinois
20.54,MC HENRY,Illinois
22.64,MC LEAN,Illinois
10.98,MENARD,Illinois
19.77,MERCER,Illinois
18.54,MONROE,Illinois
20.21,MONTGOMERY,Illinois
15.03,MORGAN,Illinois
19.17,MOULTRIE,Illinois
25.87,OGLE,Illinois
24.97,PEORIA,Illinois
21.43,PERRY,Illinois
16.39,PIATT,Illinois
28.68,PIKE,Illinois
33.33,POPE,Illinois
22.22,PULASKI,Illinois
30.77,PUTNAM,Illinois
20.32,RANDOLPH,Illinois
16.31,RICHLAND,Illinois
26.83,ROCK ISLAND,Illinois
25.41,SALINE,Illinois
18.6,SANGAMON,Illinois
18.87,SCHUYLER,Illinois
22.22,SCOTT,Illinois
21.51,SHELBY,Illinois
28.16,ST. CLAIR,Illinois
27.27,STARK,Illinois
25.45,STEPHENSON,Illinois
25.79,TAZEWELL,Illinois
20.75,UNION,Illinois
24.61,VERMILION,Illinois
16.84,WABASH,Illinois
17.14,WARREN,Illinois
23.76,WASHINGTON,Illinois
18.6,WAYNE,Illinois
22.76,WHITE,Illinois
20.44,WHITESIDE,Illinois
24.0,WILL,Illinois
23.68,WILLIAMSON,Illinois
24.1,WINNEBAGO,Illinois
30.26,WOODFORD,Illinois
22.96,ADAMS,Indiana
25.15,ALLEN,Indiana
20.8,BARTHOLOMEW,Indiana
25.93,BENTON,Indiana
25.27,BLACKFORD,Indiana
21.29,BOONE,Indiana
24.59,BROWN,Indiana
31.33,CARROLL,Indiana
21.83,CASS,Indiana
24.11,CLARK,Indiana
27.67,CLAY,Indiana
26.67,CLINTON,Indiana
22.95,CRAWFORD,Indiana
21.88,DAVIESS,Indiana
13.25,DE KALB,Indiana
22.79,DEARBORN,Indiana
21.83,DECATUR,Indiana
26.24,DELAWARE,Indiana
19.34,DUBOIS,Indiana
24.42,ELKHART,Indiana
42.25,FAYETTE,Indiana
24.77,FLOYD,Indiana
24.81,FOUNTAIN,Indiana
18.75,FRANKLIN,Indiana
23.81,FULTON,Indiana
17.95,GIBSON,Indiana
22.01,GRANT,Indiana
23.91,GREENE,Indiana
19.08,HAMILTON,Indiana
25.95,HANCOCK,Indiana
19.64,HARRISON,Indiana
20.81,HENDRICKS,Indiana
23.08,HENRY,Indiana
24.45,HOWARD,Indiana
36.76,HUNTINGTON,Indiana
17.82,JACKSON,Indiana
25.1,JASPER,Indiana
20.0,JAY,Indiana
18.23,JEFFERSON,Indiana
17.65,JENNINGS,Indiana
25.04,JOHNSON,Indiana
18.44,KNOX,Indiana
22.26,KOSCIUSKO,Indiana
21.39,LA PORTE,Indiana
13.89,LAGRANGE,Indiana
23.44,LAKE,Indiana
22.03,LAWRENCE,Indiana
25.42,MADISON,Indiana
26.26,MARION,Indiana
21.98,MARSHALL,Indiana
10.81,MARTIN,Indiana
28.28,MIAMI,Indiana
20.93,MONROE,Indiana
24.63,MONTGOMERY,Indiana
24.78,MORGAN,Indiana
21.67,NEWTON,Indiana
28.77,NOBLE,Indiana
23.33,OHIO,Indiana
20.69,ORANGE,Indiana
18.39,OWEN,Indiana
31.11,PARKE,Indiana
23.93,PERRY,Indiana
12.86,PIKE,Indiana
21.21,PORTER,Indiana
21.67,POSEY,Indiana
17.95,PULASKI,Indiana
18.52,PUTNAM,Indiana
22.91,RANDOLPH,Indiana
17.92,RIPLEY,Indiana
19.05,RUSH,Indiana
21.6,SCOTT,Indiana
27.01,SHELBY,Indiana
15.44,SPENCER,Indiana
20.96,ST. JOSEPH,Indiana
25.71,STARKE,Indiana
14.79,STEUBEN,Indiana
22.58,SULLIVAN,Indiana
24.53,SWITZERLAND,Indiana
32.97,TIPPECANOE,Indiana
20.43,TIPTON,Indiana
13.21,UNION,Indiana
23.42,VANDERBURGH,Indiana
27.1,VERMILLION,Indiana
27.74,VIGO,Indiana
19.31,WABASH,Indiana
18.18,WARREN,Indiana
22.09,WARRICK,Indiana
25.66,WASHINGTON,Indiana
35.82,WAYNE,Indiana
35.85,WELLS,Indiana
28.74,WHITE,Indiana
14.41,WHITLEY,Indiana
21.15,ADAIR,Iowa
23.53,ADAMS,Iowa
35.04,ALLAMAKEE,Iowa
27.68,APPANOOSE,Iowa
18.0,AUDUBON,Iowa
19.2,BENTON,Iowa
17.8,BLACK HAWK,Iowa
19.11,BOONE,Iowa
20.21,BREMER,Iowa
23.76,BUCHANAN,Iowa
14.78,BUENA VISTA,Iowa
21.0,BUTLER,Iowa
21.79,CALHOUN,Iowa
